Loan_ID,,Customer_id,, LoanAmount ,,Loan_Amount_Term,,Cibil Score,,,,,,,,,,,,Remarks Criteria
LP001844,"(LP001844,",IP43255,"IP43255,",192,"192,",360,"360,",793,"793),",,,,,,,,,,,
LP001846,"(LP001846,",IP43256,"IP43256,",255,"255,",360,"360,",309,"309),",,,,,,,,,,,
LP001849,"(LP001849,",IP43257,"IP43257,",115,"115,",360,"360,",980,"980),",,,,,,,,,,,
LP001854,"(LP001854,",IP43258,"IP43258,",94,"94,",360,"360,",425,"425),",,,,,,,,,,,
LP001859,"(LP001859,",IP43259,"IP43259,",304,"304,",360,"360,",243,"243),",,,,,,,,,,,
LP001864,"(LP001864,",IP43260,"IP43260,",128,"128,",360,"360,",618,"618),",,,,,,,,,,,
LP001865,"(LP001865,",IP43261,"IP43261,",330,"330,",360,"360,",291,"291),",,,,,,,,,,,
LP001868,"(LP001868,",IP43262,"IP43262,",134,"134,",360,"360,",418,"418),",,,,,,,,,,,
LP001870,"(LP001870,",IP43263,"IP43263,",155,"155,",36,"36,",245,"245),",,,,,,,,,,,
LP001871,"(LP001871,",IP43264,"IP43264,",120,"120,",360,"360,",475,"475),",,,,,,,,,,,
LP001872,"(LP001872,",IP43265,"IP43265,",128,"128,",360,"360,",583,"583),",,,,,,,,,,,
LP001875,"(LP001875,",IP43266,"IP43266,",151,"151,",360,"360,",387,"387),",,,,,,,,,,,
LP001877,"(LP001877,",IP43267,"IP43267,",150,"150,",360,"360,",292,"292),",,,,,,,,,,,
LP001882,"(LP001882,",IP43268,"IP43268,",160,"160,",360,"360,",56,"56),",,,,,,,,,,,
LP001883,"(LP001883,",IP43269,"IP43269,",135,"135,",360,"360,",732,"732),",,,,,,,,,,,
LP001884,"(LP001884,",IP43270,"IP43270,",90,"90,",360,"360,",70,"70),",,,,,,,,,,,
LP001888,"(LP001888,",IP43271,"IP43271,",30,"30,",360,"360,",438,"438),",,,,,,,,,,,
LP001891,"(LP001891,",IP43272,"IP43272,",136,"136,",360,"360,",568,"568),",,,,,,,,,,,
LP001892,"(LP001892,",IP43273,"IP43273,",126,"126,",360,"360,",166,"166),",,,,,,,,,,,
LP001894,"(LP001894,",IP43274,"IP43274,",150,"150,",360,"360,",952,"952),",,,,,,,,,,,
LP001896,"(LP001896,",IP43275,"IP43275,",90,"90,",360,"360,",763,"763),",,,,,,,,,,,
LP001900,"(LP001900,",IP43276,"IP43276,",115,"115,",360,"360,",999,"999),",,,,,,,,,,,
LP001903,"(LP001903,",IP43277,"IP43277,",207,"207,",360,"360,",468,"468),",,,,,,,,,,,
LP001904,"(LP001904,",IP43278,"IP43278,",80,"80,",360,"360,",201,"201),",,,,,,,,,,,
LP001907,"(LP001907,",IP43279,"IP43279,",436,"436,",360,"360,",398,"398),",,,,,,,,,,,
LP001908,"(LP001908,",IP43280,"IP43280,",124,"124,",360,"360,",320,"320),",,,,,,,,,,,
LP001910,"(LP001910,",IP43281,"IP43281,",158,"158,",360,"360,",932,"932),",,,,,,,,,,,
LP001914,"(LP001914,",IP43282,"IP43282,",112,"112,",360,"360,",641,"641),",,,,,,,,,,,
LP001915,"(LP001915,",IP43283,"IP43283,",78,"78,",180,"180,",818,"818),",,,,,,,,,,,
LP001917,"(LP001917,",IP43284,"IP43284,",54,"54,",360,"360,",592,"592),",,,,,,,,,,,
LP001922,"(LP001922,",IP43285,"IP43285,",Null,"Null,",360,"360,",686,"686),",,,,,,,,,,,
LP001924,"(LP001924,",IP43286,"IP43286,",89,"89,",360,"360,",760,"760),",,,,,,,,,,,
LP001925,"(LP001925,",IP43287,"IP43287,",99,"99,",300,"300,",497,"497),",,,,,,,,,,,
LP001926,"(LP001926,",IP43288,"IP43288,",120,"120,",360,"360,",55,"55),",,,,,,,,,,,
LP001931,"(LP001931,",IP43289,"IP43289,",115,"115,",360,"360,",447,"447),",,,,,,,,,,,
LP001935,"(LP001935,",IP43290,"IP43290,",187,"187,",360,"360,",718,"718),",,,,,,,,,,,
LP001936,"(LP001936,",IP43291,"IP43291,",139,"139,",360,"360,",560,"560),",,,,,,,,,,,
LP001938,"(LP001938,",IP43292,"IP43292,",127,"127,",360,"360,",574,"574),",,,,,,,,,,,
LP001940,"(LP001940,",IP43293,"IP43293,",134,"134,",360,"360,",172,"172),",,,,,,,,,,,
LP001945,"(LP001945,",IP43294,"IP43294,",143,"143,",480,"480,",231,"231),",,,,,,,,,,,
LP001947,"(LP001947,",IP43295,"IP43295,",172,"172,",360,"360,",152,"152),",,,,,,,,,,,
LP001949,"(LP001949,",IP43296,"IP43296,",110,"110,",360,"360,",702,"702),",,,,,,,,,,,
LP001953,"(LP001953,",IP43297,"IP43297,",200,"200,",360,"360,",703,"703),",,,,,,,,,,,
LP001954,"(LP001954,",IP43298,"IP43298,",135,"135,",360,"360,",650,"650),",,,,,,,,,,,
LP001955,"(LP001955,",IP43299,"IP43299,",151,"151,",480,"480,",587,"587),",,,,,,,,,,,
LP001963,"(LP001963,",IP43300,"IP43300,",113,"113,",360,"360,",642,"642),",,,,,,,,,,,
LP001964,"(LP001964,",IP43301,"IP43301,",93,"93,",360,"360,",918,"918),",,,,,,,,,,,
LP001972,"(LP001972,",IP43302,"IP43302,",105,"105,",360,"360,",405,"405),",,,,,,,,,,,
LP001974,"(LP001974,",IP43303,"IP43303,",132,"132,",360,"360,",359,"359),",,,,,,,,,,,
LP001977,"(LP001977,",IP43304,"IP43304,",96,"96,",360,"360,",53,"53),",,,,,,,,,,,
LP001978,"(LP001978,",IP43305,"IP43305,",140,"140,",360,"360,",98,"98),",,,,,,,,,,,
LP001990,"(LP001990,",IP43306,"IP43306,",Null,"Null,",360,"360,",969,"969),",,,,,,,,,,,
LP001993,"(LP001993,",IP43307,"IP43307,",135,"135,",360,"360,",268,"268),",,,,,,,,,,,
LP001994,"(LP001994,",IP43308,"IP43308,",104,"104,",360,"360,",147,"147),",,,,,,,,,,,
LP001996,"(LP001996,",IP43309,"IP43309,",480,"480,",360,"360,",362,"362),",,,,,,,,,,,
LP001998,"(LP001998,",IP43310,"IP43310,",185,"185,",360,"360,",361,"361),",,,,,,,,,,,
LP002002,"(LP002002,",IP43311,"IP43311,",84,"84,",360,"360,",622,"622),",,,,,,,,,,,
LP002004,"(LP002004,",IP43312,"IP43312,",111,"111,",360,"360,",116,"116),",,,,,,,,,,,
LP002006,"(LP002006,",IP43313,"IP43313,",56,"56,",360,"360,",958,"958),",,,,,,,,,,,
LP002008,"(LP002008,",IP43314,"IP43314,",144,"144,",84,"84,",555,"555),",,,,,,,,,,,
LP002024,"(LP002024,",IP43315,"IP43315,",159,"159,",360,"360,",713,"713),",,,,,,,,,,,
LP002031,"(LP002031,",IP43316,"IP43316,",111,"111,",180,"180,",56,"56),",,,,,,,,,,,
LP002035,"(LP002035,",IP43317,"IP43317,",120,"120,",360,"360,",930,"930),",,,,,,,,,,,
LP002036,"(LP002036,",IP43318,"IP43318,",88,"88,",360,"360,",126,"126),",,,,,,,,,,,
LP002043,"(LP002043,",IP43319,"IP43319,",112,"112,",360,"360,",697,"697),",,,,,,,,,,,
LP002050,"(LP002050,",IP43320,"IP43320,",155,"155,",360,"360,",285,"285),",,,,,,,,,,,
LP002051,"(LP002051,",IP43321,"IP43321,",115,"115,",360,"360,",654,"654),",,,,,,,,,,,
LP002053,"(LP002053,",IP43322,"IP43322,",124,"124,",360,"360,",953,"953),",,,,,,,,,,,
LP002054,"(LP002054,",IP43323,"IP43323,",Null,"Null,",360,"360,",53,"53),",,,,,,,,,,,
LP002055,"(LP002055,",IP43324,"IP43324,",132,"132,",360,"360,",381,"381),",,,,,,,,,,,
LP002065,"(LP002065,",IP43325,"IP43325,",300,"300,",360,"360,",819,"819),",,,,,,,,,,,
LP002067,"(LP002067,",IP43326,"IP43326,",376,"376,",360,"360,",373,"373),",,,,,,,,,,,
LP002068,"(LP002068,",IP43327,"IP43327,",130,"130,",360,"360,",324,"324),",,,,,,,,,,,
LP002082,"(LP002082,",IP43328,"IP43328,",184,"184,",360,"360,",900,"900),",,,,,,,,,,,
LP002086,"(LP002086,",IP43329,"IP43329,",110,"110,",360,"360,",503,"503),",,,,,,,,,,,
LP002087,"(LP002087,",IP43330,"IP43330,",67,"67,",360,"360,",524,"524),",,,,,,,,,,,
LP002097,"(LP002097,",IP43331,"IP43331,",117,"117,",360,"360,",139,"139),",,,,,,,,,,,
LP002098,"(LP002098,",IP43332,"IP43332,",98,"98,",360,"360,",317,"317),",,,,,,,,,,,
LP002100,"(LP002100,",IP43333,"IP43333,",71,"71,",360,"360,",868,"868),",,,,,,,,,,,
LP002101,"(LP002101,",IP43334,"IP43334,",490,"490,",180,"180,",555,"555),",,,,,,,,,,,
LP002103,"(LP002103,",IP43335,"IP43335,",182,"182,",180,"180,",440,"440),",,,,,,,,,,,
LP002106,"(LP002106,",IP43336,"IP43336,",70,"70,",0,"0,",401,"401),",,,,,,,,,,,
LP002110,"(LP002110,",IP43337,"IP43337,",160,"160,",360,"360,",389,"389),",,,,,,,,,,,
LP002112,"(LP002112,",IP43338,"IP43338,",176,"176,",360,"360,",979,"979),",,,,,,,,,,,
LP002113,"(LP002113,",IP43339,"IP43339,",Null,"Null,",360,"360,",236,"236),",,,,,,,,,,,
LP002114,"(LP002114,",IP43340,"IP43340,",71,"71,",360,"360,",895,"895),",,,,,,,,,,,
LP002115,"(LP002115,",IP43341,"IP43341,",173,"173,",360,"360,",365,"365),",,,,,,,,,,,
LP002116,"(LP002116,",IP43342,"IP43342,",46,"46,",360,"360,",258,"258),",,,,,,,,,,,
LP002119,"(LP002119,",IP43343,"IP43343,",158,"158,",360,"360,",735,"735),",,,,,,,,,,,
LP002126,"(LP002126,",IP43344,"IP43344,",74,"74,",360,"360,",90,"90),",,,,,,,,,,,
LP002128,"(LP002128,",IP43345,"IP43345,",125,"125,",360,"360,",453,"453),",,,,,,,,,,,
LP002129,"(LP002129,",IP43346,"IP43346,",160,"160,",360,"360,",840,"840),",,,,,,,,,,,
LP002130,"(LP002130,",IP43347,"IP43347,",152,"152,",360,"360,",319,"319),",,,,,,,,,,,
LP002131,"(LP002131,",IP43348,"IP43348,",126,"126,",360,"360,",294,"294),",,,,,,,,,,,
LP002137,"(LP002137,",IP43349,"IP43349,",259,"259,",360,"360,",634,"634),",,,,,,,,,,,
LP002138,"(LP002138,",IP43350,"IP43350,",187,"187,",360,"360,",544,"544),",,,,,,,,,,,
LP002139,"(LP002139,",IP43351,"IP43351,",228,"228,",360,"360,",655,"655),",,,,,,,,,,,
LP002140,"(LP002140,",IP43352,"IP43352,",308,"308,",360,"360,",308,"308),",,,,,,,,,,,
LP002141,"(LP002141,",IP43353,"IP43353,",95,"95,",360,"360,",102,"102),",,,,,,,,,,,
LP002142,"(LP002142,",IP43354,"IP43354,",105,"105,",360,"360,",878,"878),",,,,,,,,,,,
LP002143,"(LP002143,",IP43355,"IP43355,",130,"130,",360,"360,",861,"861),",,,,,,,,,,,
LP002144,"(LP002144,",IP43356,"IP43356,",116,"116,",180,"180,",766,"766),",,,,,,,,,,,
LP002149,"(LP002149,",IP43357,"IP43357,",165,"165,",360,"360,",951,"951),",,,,,,,,,,,
LP002151,"(LP002151,",IP43358,"IP43358,",67,"67,",360,"360,",799,"799),",,,,,,,,,,,
LP002158,"(LP002158,",IP43359,"IP43359,",100,"100,",480,"480,",397,"397),",,,,,,,,,,,
LP002160,"(LP002160,",IP43360,"IP43360,",200,"200,",360,"360,",253,"253),",,,,,,,,,,,
LP002161,"(LP002161,",IP43361,"IP43361,",81,"81,",360,"360,",148,"148),",,,,,,,,,,,
LP002170,"(LP002170,",IP43362,"IP43362,",236,"236,",360,"360,",675,"675),",,,,,,,,,,,
LP002175,"(LP002175,",IP43363,"IP43363,",130,"130,",360,"360,",978,"978),",,,,,,,,,,,
LP002178,"(LP002178,",IP43364,"IP43364,",95,"95,",300,"300,",161,"161),",,,,,,,,,,,
LP002180,"(LP002180,",IP43365,"IP43365,",141,"141,",360,"360,",234,"234),",,,,,,,,,,,
LP002181,"(LP002181,",IP43366,"IP43366,",133,"133,",360,"360,",869,"869),",,,,,,,,,,,
LP002187,"(LP002187,",IP43367,"IP43367,",96,"96,",480,"480,",701,"701),",,,,,,,,,,,
LP002188,"(LP002188,",IP43368,"IP43368,",124,"124,",0,"0,",98,"98),",,,,,,,,,,,
LP002190,"(LP002190,",IP43369,"IP43369,",175,"175,",360,"360,",435,"435),",,,,,,,,,,,
LP002191,"(LP002191,",IP43370,"IP43370,",570,"570,",360,"360,",323,"323),",,,,,,,,,,,
LP002194,"(LP002194,",IP43371,"IP43371,",55,"55,",360,"360,",331,"331),",,,,,,,,,,,
LP002197,"(LP002197,",IP43372,"IP43372,",155,"155,",360,"360,",736,"736),",,,,,,,,,,,
LP002201,"(LP002201,",IP43373,"IP43373,",380,"380,",300,"300,",831,"831),",,,,,,,,,,,
LP002205,"(LP002205,",IP43374,"IP43374,",111,"111,",180,"180,",699,"699),",,,,,,,,,,,
LP002209,"(LP002209,",IP43375,"IP43375,",110,"110,",360,"360,",697,"697),",,,,,,,,,,,
LP002211,"(LP002211,",IP43376,"IP43376,",120,"120,",180,"180,",846,"846),",,,,,,,,,,,
LP002219,"(LP002219,",IP43377,"IP43377,",130,"130,",360,"360,",158,"158),",,,,,,,,,,,
LP002223,"(LP002223,",IP43378,"IP43378,",130,"130,",360,"360,",908,"908),",,,,,,,,,,,
LP002224,"(LP002224,",IP43379,"IP43379,",71,"71,",480,"480,",317,"317),",,,,,,,,,,,
LP002225,"(LP002225,",IP43380,"IP43380,",130,"130,",360,"360,",203,"203),",,,,,,,,,,,
LP002226,"(LP002226,",IP43381,"IP43381,",128,"128,",360,"360,",887,"887),",,,,,,,,,,,
LP002229,"(LP002229,",IP43382,"IP43382,",296,"296,",360,"360,",673,"673),",,,,,,,,,,,
LP002231,"(LP002231,",IP43383,"IP43383,",156,"156,",360,"360,",443,"443),",,,,,,,,,,,
LP002234,"(LP002234,",IP43384,"IP43384,",128,"128,",360,"360,",828,"828),",,,,,,,,,,,
LP002236,"(LP002236,",IP43385,"IP43385,",100,"100,",360,"360,",562,"562),",,,,,,,,,,,
LP002237,"(LP002237,",IP43386,"IP43386,",113,"113,",180,"180,",52,"52),",,,,,,,,,,,
LP002239,"(LP002239,",IP43387,"IP43387,",132,"132,",360,"360,",337,"337),",,,,,,,,,,,
LP002243,"(LP002243,",IP43388,"IP43388,",Null,"Null,",360,"360,",611,"611),",,,,,,,,,,,
LP002244,"(LP002244,",IP43389,"IP43389,",136,"136,",360,"360,",884,"884),",,,,,,,,,,,
LP002250,"(LP002250,",IP43390,"IP43390,",125,"125,",360,"360,",320,"320),",,,,,,,,,,,
LP002255,"(LP002255,",IP43391,"IP43391,",185,"185,",360,"360,",897,"897),",,,,,,,,,,,
LP002262,"(LP002262,",IP43392,"IP43392,",275,"275,",360,"360,",882,"882),",,,,,,,,,,,
LP002263,"(LP002263,",IP43393,"IP43393,",120,"120,",360,"360,",946,"946),",,,,,,,,,,,
LP002265,"(LP002265,",IP43394,"IP43394,",113,"113,",180,"180,",733,"733),",,,,,,,,,,,
LP002266,"(LP002266,",IP43395,"IP43395,",113,"113,",360,"360,",213,"213),",,,,,,,,,,,
LP002272,"(LP002272,",IP43396,"IP43396,",135,"135,",360,"360,",507,"507),",,,,,,,,,,,
LP002277,"(LP002277,",IP43397,"IP43397,",71,"71,",360,"360,",403,"403),",,,,,,,,,,,
LP002281,"(LP002281,",IP43398,"IP43398,",95,"95,",360,"360,",478,"478),",,,,,,,,,,,
LP002284,"(LP002284,",IP43399,"IP43399,",109,"109,",360,"360,",216,"216),",,,,,,,,,,,
LP002287,"(LP002287,",IP43400,"IP43400,",103,"103,",360,"360,",459,"459),",,,,,,,,,,,
LP002288,"(LP002288,",IP43401,"IP43401,",45,"45,",180,"180,",826,"826),",,,,,,,,,,,
LP002296,"(LP002296,",IP43402,"IP43402,",65,"65,",300,"300,",971,"971),",,,,,,,,,,,
LP002297,"(LP002297,",IP43403,"IP43403,",103,"103,",360,"360,",806,"806),",,,,,,,,,,,
LP002300,"(LP002300,",IP43404,"IP43404,",53,"53,",360,"360,",775,"775),",,,,,,,,,,,
LP002301,"(LP002301,",IP43405,"IP43405,",194,"194,",360,"360,",99,"99),",,,,,,,,,,,
LP002305,"(LP002305,",IP43406,"IP43406,",115,"115,",360,"360,",283,"283),",,,,,,,,,,,
LP002308,"(LP002308,",IP43407,"IP43407,",115,"115,",360,"360,",784,"784),",,,,,,,,,,,
LP002314,"(LP002314,",IP43408,"IP43408,",66,"66,",360,"360,",822,"822),",,,,,,,,,,,
LP002315,"(LP002315,",IP43409,"IP43409,",152,"152,",300,"300,",143,"143),",,,,,,,,,,,
LP002317,"(LP002317,",IP43410,"IP43410,",360,"360,",360,"360,",484,"484),",,,,,,,,,,,
LP002318,"(LP002318,",IP43411,"IP43411,",62,"62,",360,"360,",779,"779),",,,,,,,,,,,
LP002319,"(LP002319,",IP43412,"IP43412,",160,"160,",360,"360,",842,"842),",,,,,,,,,,,
LP002328,"(LP002328,",IP43413,"IP43413,",218,"218,",360,"360,",725,"725),",,,,,,,,,,,
LP002332,"(LP002332,",IP43414,"IP43414,",110,"110,",360,"360,",607,"607),",,,,,,,,,,,
LP002335,"(LP002335,",IP43415,"IP43415,",178,"178,",360,"360,",685,"685),",,,,,,,,,,,
LP002337,"(LP002337,",IP43416,"IP43416,",60,"60,",360,"360,",834,"834),",,,,,,,,,,,
LP002341,"(LP002341,",IP43417,"IP43417,",160,"160,",360,"360,",260,"260),",,,,,,,,,,,
LP002342,"(LP002342,",IP43418,"IP43418,",239,"239,",360,"360,",108,"108),",,,,,,,,,,,
LP002345,"(LP002345,",IP43419,"IP43419,",112,"112,",360,"360,",229,"229),",,,,,,,,,,,
LP002347,"(LP002347,",IP43420,"IP43420,",138,"138,",360,"360,",718,"718),",,,,,,,,,,,
LP002348,"(LP002348,",IP43421,"IP43421,",138,"138,",360,"360,",632,"632),",,,,,,,,,,,
LP002357,"(LP002357,",IP43422,"IP43422,",80,"80,",0,"0,",447,"447),",,,,,,,,,,,
LP002361,"(LP002361,",IP43423,"IP43423,",100,"100,",360,"360,",190,"190),",,,,,,,,,,,
LP002362,"(LP002362,",IP43424,"IP43424,",110,"110,",0,"0,",285,"285),",,,,,,,,,,,
LP002364,"(LP002364,",IP43425,"IP43425,",96,"96,",360,"360,",576,"576),",,,,,,,,,,,
LP002366,"(LP002366,",IP43426,"IP43426,",121,"121,",360,"360,",555,"555),",,,,,,,,,,,
LP002367,"(LP002367,",IP43427,"IP43427,",81,"81,",360,"360,",74,"74),",,,,,,,,,,,
LP002368,"(LP002368,",IP43428,"IP43428,",133,"133,",360,"360,",559,"559),",,,,,,,,,,,
LP002369,"(LP002369,",IP43429,"IP43429,",87,"87,",360,"360,",625,"625),",,,,,,,,,,,
LP002370,"(LP002370,",IP43430,"IP43430,",60,"60,",180,"180,",889,"889),",,,,,,,,,,,
LP002377,"(LP002377,",IP43431,"IP43431,",150,"150,",360,"360,",866,"866),",,,,,,,,,,,
LP002379,"(LP002379,",IP43432,"IP43432,",105,"105,",360,"360,",61,"61),",,,,,,,,,,,
LP002386,"(LP002386,",IP43433,"IP43433,",405,"405,",360,"360,",642,"642),",,,,,,,,,,,
LP002387,"(LP002387,",IP43434,"IP43434,",143,"143,",360,"360,",953,"953),",,,,,,,,,,,
LP002390,"(LP002390,",IP43435,"IP43435,",100,"100,",360,"360,",539,"539),",,,,,,,,,,,
LP002393,"(LP002393,",IP43436,"IP43436,",Null,"Null,",240,"240,",345,"345),",,,,,,,,,,,
LP002398,"(LP002398,",IP43437,"IP43437,",50,"50,",360,"360,",961,"961),",,,,,,,,,,,
LP002401,"(LP002401,",IP43438,"IP43438,",Null,"Null,",360,"360,",535,"535),",,,,,,,,,,,
LP002403,"(LP002403,",IP43439,"IP43439,",187,"187,",360,"360,",272,"272),",,,,,,,,,,,
LP002407,"(LP002407,",IP43440,"IP43440,",138,"138,",360,"360,",865,"865),",,,,,,,,,,,
LP002408,"(LP002408,",IP43441,"IP43441,",360,"360,",360,"360,",0,"0),",,,,,,,,,,,
LP002409,"(LP002409,",IP43442,"IP43442,",180,"180,",360,"360,",631,"631),",,,,,,,,,,,
LP002418,"(LP002418,",IP43443,"IP43443,",148,"148,",360,"360,",130,"130),",,,,,,,,,,,
LP002422,"(LP002422,",IP43444,"IP43444,",152,"152,",360,"360,",730,"730),",,,,,,,,,,,
LP002424,"(LP002424,",IP43445,"IP43445,",175,"175,",300,"300,",807,"807),",,,,,,,,,,,
LP002429,"(LP002429,",IP43446,"IP43446,",130,"130,",360,"360,",127,"127),",,,,,,,,,,,
LP002434,"(LP002434,",IP43447,"IP43447,",110,"110,",360,"360,",460,"460),",,,,,,,,,,,
LP002435,"(LP002435,",IP43448,"IP43448,",55,"55,",360,"360,",837,"837),",,,,,,,,,,,
LP002443,"(LP002443,",IP43449,"IP43449,",150,"150,",360,"360,",486,"486),",,,,,,,,,,,
LP002444,"(LP002444,",IP43450,"IP43450,",190,"190,",360,"360,",379,"379),",,,,,,,,,,,
LP002446,"(LP002446,",IP43451,"IP43451,",125,"125,",360,"360,",205,"205),",,,,,,,,,,,
LP002447,"(LP002447,",IP43452,"IP43452,",60,"60,",300,"300,",802,"802),",,,,,,,,,,,
LP002448,"(LP002448,",IP43453,"IP43453,",149,"149,",360,"360,",252,"252),",,,,,,,,,,,
LP002449,"(LP002449,",IP43454,"IP43454,",90,"90,",180,"180,",903,"903),",,,,,,,,,,,
LP002453,"(LP002453,",IP43455,"IP43455,",84,"84,",360,"360,",100,"100),",,,,,,,,,,,
LP002455,"(LP002455,",IP43456,"IP43456,",96,"96,",360,"360,",928,"928),",,,,,,,,,,,
LP002459,"(LP002459,",IP43457,"IP43457,",118,"118,",360,"360,",231,"231),",,,,,,,,,,,
LP002467,"(LP002467,",IP43458,"IP43458,",173,"173,",360,"360,",918,"918),",,,,,,,,,,,
LP002472,"(LP002472,",IP43459,"IP43459,",136,"136,",360,"360,",662,"662),",,,,,,,,,,,
LP002473,"(LP002473,",IP43460,"IP43460,",160,"160,",360,"360,",465,"465),",,,,,,,,,,,
LP002478,"(LP002478,",IP43461,"IP43461,",160,"160,",360,"360,",965,"965),",,,,,,,,,,,
LP002484,"(LP002484,",IP43462,"IP43462,",128,"128,",180,"180,",568,"568),",,,,,,,,,,,
LP002487,"(LP002487,",IP43463,"IP43463,",153,"153,",360,"360,",698,"698),",,,,,,,,,,,
LP002489,"(LP002489,",IP43464,"IP43464,",132,"132,",360,"360,",214,"214),",,,,,,,,,,,
LP002493,"(LP002493,",IP43465,"IP43465,",98,"98,",360,"360,",978,"978),",,,,,,,,,,,
LP002494,"(LP002494,",IP43466,"IP43466,",140,"140,",360,"360,",403,"403),",,,,,,,,,,,
LP002500,"(LP002500,",IP43467,"IP43467,",70,"70,",180,"180,",292,"292),",,,,,,,,,,,
LP002501,"(LP002501,",IP43468,"IP43468,",110,"110,",360,"360,",671,"671),",,,,,,,,,,,
LP002502,"(LP002502,",IP43469,"IP43469,",98,"98,",360,"360,",71,"71),",,,,,,,,,,,
LP002505,"(LP002505,",IP43470,"IP43470,",110,"110,",360,"360,",167,"167),",,,,,,,,,,,
LP002515,"(LP002515,",IP43471,"IP43471,",162,"162,",360,"360,",970,"970),",,,,,,,,,,,
LP002517,"(LP002517,",IP43472,"IP43472,",113,"113,",180,"180,",650,"650),",,,,,,,,,,,
LP002519,"(LP002519,",IP43473,"IP43473,",100,"100,",360,"360,",649,"649),",,,,,,,,,,,
LP002522,"(LP002522,",IP43474,"IP43474,",93,"93,",360,"360,",104,"104),",,,,,,,,,,,
LP002524,"(LP002524,",IP43475,"IP43475,",162,"162,",360,"360,",567,"567),",,,,,,,,,,,
LP002527,"(LP002527,",IP43476,"IP43476,",150,"150,",360,"360,",984,"984),",,,,,,,,,,,
LP002529,"(LP002529,",IP43477,"IP43477,",230,"230,",300,"300,",175,"175),",,,,,,,,,,,
LP002530,"(LP002530,",IP43478,"IP43478,",132,"132,",360,"360,",431,"431),",,,,,,,,,,,
LP002531,"(LP002531,",IP43479,"IP43479,",86,"86,",360,"360,",416,"416),",,,,,,,,,,,
LP002533,"(LP002533,",IP43480,"IP43480,",Null,"Null,",360,"360,",910,"910),",,,,,,,,,,,
LP002534,"(LP002534,",IP43481,"IP43481,",154,"154,",360,"360,",981,"981),",,,,,,,,,,,
LP002536,"(LP002536,",IP43482,"IP43482,",113,"113,",360,"360,",950,"950),",,,,,,,,,,,
LP002537,"(LP002537,",IP43483,"IP43483,",128,"128,",360,"360,",226,"226),",,,,,,,,,,,
LP002541,"(LP002541,",IP43484,"IP43484,",234,"234,",360,"360,",74,"74),",,,,,,,,,,,
LP002543,"(LP002543,",IP43485,"IP43485,",246,"246,",360,"360,",551,"551),",,,,,,,,,,,
LP002544,"(LP002544,",IP43486,"IP43486,",131,"131,",360,"360,",547,"547),",,,,,,,,,,,
LP002545,"(LP002545,",IP43487,"IP43487,",80,"80,",360,"360,",619,"619),",,,,,,,,,,,
LP002547,"(LP002547,",IP43488,"IP43488,",500,"500,",360,"360,",961,"961),",,,,,,,,,,,
LP002555,"(LP002555,",IP43489,"IP43489,",160,"160,",360,"360,",77,"77),",,,,,,,,,,,
LP002556,"(LP002556,",IP43490,"IP43490,",75,"75,",360,"360,",769,"769),",,,,,,,,,,,
LP002560,"(LP002560,",IP43491,"IP43491,",96,"96,",360,"360,",546,"546),",,,,,,,,,,,
LP002562,"(LP002562,",IP43492,"IP43492,",186,"186,",360,"360,",504,"504),",,,,,,,,,,,
LP002571,"(LP002571,",IP43493,"IP43493,",110,"110,",360,"360,",926,"926),",,,,,,,,,,,
LP002582,"(LP002582,",IP43494,"IP43494,",225,"225,",360,"360,",52,"52),",,,,,,,,,,,
LP002585,"(LP002585,",IP43495,"IP43495,",119,"119,",360,"360,",976,"976),",,,,,,,,,,,
LP002586,"(LP002586,",IP43496,"IP43496,",105,"105,",84,"84,",122,"122),",,,,,,,,,,,
LP002587,"(LP002587,",IP43497,"IP43497,",107,"107,",360,"360,",227,"227),",,,,,,,,,,,
LP002588,"(LP002588,",IP43498,"IP43498,",111,"111,",12,"12,",761,"761),",,,,,,,,,,,
LP002600,"(LP002600,",IP43499,"IP43499,",95,"95,",360,"360,",665,"665),",,,,,,,,,,,
LP002602,"(LP002602,",IP43500,"IP43500,",209,"209,",360,"360,",931,"931),",,,,,,,,,,,
LP002603,"(LP002603,",IP43501,"IP43501,",113,"113,",480,"480,",261,"261),",,,,,,,,,,,
LP002606,"(LP002606,",IP43502,"IP43502,",100,"100,",360,"360,",137,"137),",,,,,,,,,,,
LP002615,"(LP002615,",IP43503,"IP43503,",208,"208,",360,"360,",696,"696),",,,,,,,,,,,
LP002618,"(LP002618,",IP43504,"IP43504,",138,"138,",360,"360,",197,"197),",,,,,,,,,,,
LP002619,"(LP002619,",IP43505,"IP43505,",124,"124,",300,"300,",533,"533),",,,,,,,,,,,
LP002622,"(LP002622,",IP43506,"IP43506,",243,"243,",360,"360,",696,"696),",,,,,,,,,,,
LP002624,"(LP002624,",IP43507,"IP43507,",480,"480,",360,"360,",601,"601),",,,,,,,,,,,
LP002625,"(LP002625,",IP43508,"IP43508,",96,"96,",360,"360,",458,"458),",,,,,,,,,,,
LP002626,"(LP002626,",IP43509,"IP43509,",188,"188,",360,"360,",431,"431),",,,,,,,,,,,
LP002634,"(LP002634,",IP43510,"IP43510,",40,"40,",360,"360,",834,"834),",,,,,,,,,,,
LP002637,"(LP002637,",IP43511,"IP43511,",100,"100,",360,"360,",608,"608),",,,,,,,,,,,
